
選舉年,市縣別,鄉鎮市,村里別,姓      名,職稱,性別,黨籍,村里辦公處(服務處)地址,辦公電話,電子信箱,學    歷,簡     歷,所轄鄰數,布落格,連結網頁
107年度村里長選舉,新竹市,東區,南門里,沈　雄輝,里長,男,,(300)新竹市東區南門里南門街49號,03-5263117,,國小,"一、南門里第1 5 ～ 2 0 屆里長 
二、飛獅廣告企業有限公司董事長 
三、新竹市廣告公會理事長 
四、新竹市警察之友會南門站站長 
五、新竹城中扶輪社秘書 
六、新竹市南門巡守隊隊長 
七、南門社區發展協會理事長",14,,
107年度村里長選舉,新竹市,東區,福德里,陳　嘉福,里長,男,,(300)新竹市東區福德里中華路二段665號,03-5223898,,高職,"福德社區巡守隊隊員20年資歷 
現任福德社區發展協會理事 
現任福德里里長",17,,
107年度村里長選舉,新竹市,東區,南市里,石　添益,里長,男,,(300)新竹市東區南市里南外街32號,03-5230711,,高中,新竹市南市里第17、19、20屆里長,18,,
107年度村里長選舉,新竹市,東區,關帝里,李　文桂,里長,男,,(300)新竹市東區關帝里南門街102號,03-5260333,,高中,"新竹市縫紉商業同業公會第五屆理事長 
新竹市東區關帝里第五鄰鄰長 
新竹市光輝獅子會 
新竹市第一街西服負責人。",15,,
107年度村里長選舉,新竹市,東區,東門里,蘇　竹勝,里長,男,,(300)新竹市東區東門里東前街46號,03-5242371,,專科,"①第20屆東門里里長 
②2006~2007年度東區扶輪社社長　 
③ 蘇周連宗親會總幹事近30年 
④福建同鄉會理事長",12,,
107年度村里長選舉,新竹市,東區,榮光里,張　雲錦,里長,男,,(300)新竹市東區榮光里中華路二段381號,03-5224384,,專科,"1. 慶仁眼科內科中醫診所醫師 
2. 前新竹市衛生局醫審會委員 
3.現任里長",8,,
107年度村里長選舉,新竹市,東區,成功里,林　俊縢,里長,男,,(300)新竹市東區成功里大同路21號,03-5224384,,碩士,"新竹市第二十屆里長 
新竹市警友會東門站站長 
新竹市南門綜合醫院病安顧問小組顧問 
旅館管理專業經理人",9,,
107年度村里長選舉,新竹市,東區,下竹里,莊　子緩,里長,女,,(300)新竹市東區下竹里南大路206號,03-5242627,,碩士,"財團法人環境與發展基金會 
魔力創意行銷 
勞動部勞動力發展署桃竹苗分署 
下竹里里長 
中華大學科技管理所博士候選人",11,,
107年度村里長選舉,新竹市,東區,竹蓮里,鄭　煥堃,里長,男,,(300)新竹市東區竹蓮里東南街28巷25之1號二樓,03-5622798,,高商,新竹市第20屆里長,10,,
107年度村里長選舉,新竹市,東區,寺前里,鄭　錦章,里長,男,,(300)新竹市東區寺前里竹蓮街177號,03-5232259,,國中畢業,"新竹市18 19 20屆里長 
新竹市竹蓮寺總幹事 
寺前里巡守隊隊長 
寺前社區發展協會理事 
新竹市檳榔工會理事",10,,
107年度村里長選舉,新竹市,東區,育賢里,朱　鴻銘,里長,男,,(300)新竹市東區育賢里中華路2段311號,03-5329185,,國中,"天仁機車行負責人 
　",12,,
107年度村里長選舉,新竹市,東區,中正里,吳　月伶,里長,女,,(300)新竹市東區中正里大同路104號,03-5226261,,國小,"1. 飛漁泳術協會第十屆理事長。 
2.立成企業商行負責人。 
3. 新竹市日用雜貨商業同業公會第四、六、七、十屆 
總幹事。 
4. 新竹市中正里巡守隊總幹事。 
5. 新竹市中正商圈促進會總幹事。 
6. 新竹市中正社區發展協會常務監事。 
7. 竹塹扶輪社2008～2009社長夫人",6,,
107年度村里長選舉,新竹市,東區,公園里,林　志雅,里長,男,,(300)新竹市東區公園里花園街51巷1號,,,高中,"新竹北區扶輪社第37屆社長 
新竹市林氏宗親會第九屆理事長 
新竹市幸福社區福利促進協會理事長 
新竹市公園里巡守隊隊長 
新竹市義警第二中隊直屬分隊顧問團 
創會團長 
新竹市第19-20屆公園里里長 
一、爭取體育場周邊綠美化工程，提升生活品質。 
二、爭取花園街舊有鐵路局倉庫改建為立體停車場，改善里民停車問題。 
三、 爭取花園街原花園夜市舊址改建為大型里民集會所，提供里民寬敞活動 
空間。 
四、爭取獨居老人及身心障礙者緊急求救發報器。 
五、增加公園里監視系統設置，加強治安防護保障里民居住安全。 
六、爭取麗池公園周邊增設環保綠能公廁，徹底改善公廁需求。 
七、協助清寒家庭申請辦理各項政府補助。",18,,
107年度村里長選舉,新竹市,東區,頂竹里,黃　木土,里長,男,,(300)新竹市東區頂竹里東南街161號,03-5259846,,國中,"1.新竹市東區頂竹里第17 1819 20屆里長。 
2.新竹市頂竹社區發展協會第3、4屆理事長。 
3.新竹市東區基層建設促進會監事。 
4.新竹市巡守志工協進會理事長。 
5.新竹市頂竹里志工隊隊長。 
6.新竹市頂竹宮媽祖會委員。 
7.土城福德宮委員。 
8.新竹市海寶保安宮洪公祖委員。 
9.新竹市第7、8、9屆農會代表。10福安堂國術館負責 
人。",28,,
107年度村里長選舉,新竹市,東區,南大里,徐　炳生,里長,男,,(300)新竹市東區南大里西大路18號,03-5252811,,高工,"南大社區發展協會常務監事 
新竹市廣告服務業職業工會常務監事",16,,
107年度村里長選舉,新竹市,東區,振興里,呂　賢輝,里長,男,,(300)新竹市東區振興里興竹街132號,03-5619150,,大專,"1. 新竹市東區振興里第20屆里長 
2. 新竹市東區安全健康促進會第3屆理事長 
3. 振興社區發展協會總幹事 
4. 石化公司值班主管",32,,
107年度村里長選舉,新竹市,東區,親仁里,李　臺生,里長,男,中國國民黨,(300)新竹市東區親仁里仁愛街19巷4號,,,高中,三屆里長、巡守隊隊長、社區發展協會理事長,18,,
107年度村里長選舉,新竹市,東區,文華里,張　金滄,里長,男,,(300)新竹市東區文華里田美二街14號,03-5311818,,專科,"1.笙展（開發）企業有限公司 
2.台陽實業有限公司 
3.台積電、帆宣系統、宸沅國 
際、弘塑科技……等協力廠 
商 
4.國際同濟會竹苗區2010~2011 
光華會會長。 
5.國際同濟會竹苗區2014~2015 
總召集長",19,,
107年度村里長選舉,新竹市,東區,復中里,王　峯清,里長,男,中國國民黨,(300)新竹市東區復中里民權路206巷22號,03-5322282,,專科,"1. 方宜電氣工程股份有限公司工程師 
2 . 福峯水電股份有限公司負責人 
3.中美晶副理 
4.中辰晶經理 
5.復中里第19、20屆里長 
6 . 新竹市復中仁愛協進會理事長",21,,
107年度村里長選舉,新竹市,東區,三民里,范　姜財,里長,男,,(300)新竹市東區三民里中華路2段170巷12號,03-5321242,,高中,"一三民里第18 19 20屆里長 
二三民社區巡守隊隊長 
三 東區調解委員第5 6 7屆委員 
四 新竹市輪胎商業同業公會首屆理事長 
五 國際青年商會新竹分會第廿三屆會長",26,,
107年度村里長選舉,新竹市,東區,東園里,張　麗芬,里長,女,,(300)新竹市東區東園里光復路二段856號,,,國中,"1.第20屆東園里里長 
2.東園社區發展協會常務理事 
3.義消總隊第二大隊顧問 
4.民防大隊埔頂分隊顧問 
5.佛光會中華總會顧問 
6.公園綠水福德宮委員",21,,
107年度村里長選舉,新竹市,東區,東勢里,林　錦全,里長,男,,(300)新竹市東區東勢里東明街116號,,,小學,"1.新竹市東勢里第19-20屆里長 
2.新竹市龍台宮管委會主任委員 
3.東勢社區發展協會常務監事 
4.東勢里環保義工隊隊長 
曾任 
1.新竹市龍台宮管委會委員24年 
2.東勢社區發展協會理事長8年 
3.新竹市潭後老人會總幹事12年 
4.龍台宮眾爺會常務監事6年 
5.東勢福龍山宮委員會會計6年",17,,
107年度村里長選舉,新竹市,東區,光復里,吳　建銘,里長,男,,(300)新竹市東區光復里忠孝路145號,,,大學,"1.光復里第19、20屆里長 
2.新竹市福龍山宮主任委員 
3.光復社區發展協會第2、3屆理事長 
4.承德國中教師",18,,
107年度村里長選舉,新竹市,東區,豐功里,翁　秀瓊,里長,女,中國國民黨,(300)新竹市東區豐功里公道五路二段398號,03-5711154,,高職,"1. 廣東同鄉會理事長（ 五、六屆） 
2. 幸福長壽會理事長（一、二、四屆） 
3. 97～99年度勞資爭議調解委員 
4. 豐功社區發展協會現任理事長 
5. 現任里長（12-20屆）",34,,
107年度村里長選舉,新竹市,東區,武功里,陳　海鋒,里長,男,中國國民黨,(300)新竹市東區武功里建功一路97號2樓之1,03-5748858,,陸軍官校,"一、 武功里第20屆里長。 
二、 武功社區發展協會總幹事。",23,,
107年度村里長選舉,新竹市,東區,綠水里,黃　千芳,里長,女,,(300)新竹市東區綠水里博愛街22號,,,大學,"綠水里辦公室主任 
綠水里老人共餐志工服務隊隊長 
綠水里環保志工隊副隊長 
綠水里巡守隊隊員 
綠水里集會所志工 
綠水里繪畫、電腦班助教 
新竹區雲林同鄉會區主任 
東區婦女會常務理事",22,,
107年度村里長選舉,新竹市,東區,東山里,劉　國棟,里長,男,,(300)新竹市東區東山里食品路155巷27號,,,高中,"18 19 20屆里長 
東山社區巡守隊隊長 
東山社區常務理事",22,,
