
選舉年,市縣別,鄉鎮市,村里別,姓      名,職稱,性別,黨籍,村里辦公處(服務處)地址,辦公電話,電子信箱,學    歷,簡     歷,所轄鄰數,布落格,連結網頁
107年度村里長選舉,嘉義縣,太保市,太保里,郭　秀琴,里長,女,無,(612)嘉義縣太保市太保里112之88號,05-3717469,,吳鳳技術學院二專畢業,現任里長,15,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,後庄里,沈　得山,里長,男,無,(612)嘉義縣太保市後庄里2鄰18號,05-3714714,,太保國中補校畢業,"一、 後庄社區發展協會第一、二屆常務監事、現任常務理事。 
二、 後庄保安宮管理委員會副主任委員。 
三、 後庄里里長現任",6,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,前潭里,林　俊哲,里長,男,無,(612)嘉義縣太保市後潭里8鄰後潭298號,05-3711094,,國中畢業,前潭里里長,15,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,後潭里,蔡　樹福,里長,男,無,(612)嘉義縣太保市後潭里8鄰後潭298號,05-3711144,,太保國小畢業,"第十六、十七、十八、十九、二十屆後潭里里長 
鎮福宮副主任委員 
平安宮副主任委員",15,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,梅埔里,官　德發,里長,男,無,(612)嘉義縣太保市梅埔里9鄰70號,05-3711214,,初中,梅埔里第17.19.20屆里長,14,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,春珠里,蔡　德村,里長,男,無,(612)嘉義縣太保市春珠里1鄰8號,05-3711080,,臺灣省立東石高中畢業,"1.67年特考警察人員丙等行政警察人員考試及格 
2.84年特考警察人員乙等行政警察人員考試及格",12,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,崙頂里,張　騰耀,里長,男,無,(612)嘉義縣太保市崙頂里4鄰崙子頂21號,05-3712938,,高職畢業,空白,7,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,東勢里,龔　栩慶,里長,男,無,(612)嘉義縣太保市東勢里8鄰東勢寮82號,05-3628523,,大學畢業,食品廠有限公司製造課副課長,15,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,新埤里,徐　錦昌,里長,男,無,(612)嘉義縣太保市新埤里5鄰214號之1,05-3611397,,"國立北港農工農場經營科畢業 
警察專科學校專科班第五期畢業","擔任公務人員29年 
阿豆農友之家負責人",13,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,舊埤里,蘇　逸婷,里長,女,無,(612)嘉義縣太保市新埤里5鄰214號之1,05-3611397,,嘉義市私立興華高中畢業,"一 舊埤里 里長 
二 裝潢設計公司顧問 
三 臺灣體育會志工",21,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,田尾里,陳　復明,里長,男,無,(612)嘉義縣太保市田尾里4鄰44號之1,05-3611201,,太保市新埤國校畢業,"第十七屆田尾里里長 
第五屆社區發展協會理事長 
第十九屆田尾里里長 
第七屆社區發展協會理事長 
朴子溪巡守隊隊長",10,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,港尾里,詹　連溢,里長,男,無,(612)嘉義縣太保市港尾里5鄰管事厝23號,05-2373060,,國立嘉義高級農業職業學校肄業,第十七、十八、十九、二十屆太保市港尾里里長,7,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,過溝里,葉　隆詳,里長,男,無,(612)嘉義縣太保市過溝里4鄰過溝36-5號,05-2372839,,東石高中肄業,"普通檢定考試行政人員及格 
中華海員訓練班結業 
日本航運機匠 
康運倫敦船運生火 
嘉義縣警察局任職33年 
嘉義縣後備憲兵荷松協會太保區主任",18,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,麻寮里,侯　水波,里長,男,無,(612)嘉義縣太保市麻寮里中山路2段246號,05-2382656,,玉山國中補校畢業,"曾任麻寮里巡守隊第一、二任隊長 
麻寮社區發展協會第三、四屆理事長 
第18.19.20屆里長 
太保市里長聯誼會會長 
太保市麻寮里里長",31,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,南新里,葉　全成,里長,男,無,(612)嘉義縣太保市南新里仁愛路25號,05-2381811,,嘉新國中畢業,"1.  清雲宮主任委員 
2.  玉皇宮廟副主委 
3.  牛將軍廟副主委 
4.  義士公廟主任委員 
5.  水牛厝社區發展協會理事 
6.  太保市調解委員會委員 
7.  南新警友站顧問 
8.  南新國小家長委員會委員 
9.  嘉新國中家長委員會顧問 
10.一龍山觀濟宮義工組長",17,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,北新里,葉　許香,里長,女,無,(612)嘉義縣太保市南新里仁愛路25號,05-2383055,,國小肄業,"1.  北新里第19屆里長 
2.  嘉義縣咪咪笑農村生活美學推廣協會理事長 
3.  水牛厝玉皇宮常務委員 
4.  葉姓宗親會主任委員 
5.  水牛厝朴子溪巡守隊隊長",20,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,埤鄉里,林　峯名,里長,男,無,(612)嘉義縣太保市埤鄉里埤麻腳78號,05-2379793,,太保市南新國小畢業,太保市埤鄉里第17、18、19、20屆里長,13,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,太保市,安仁里,陳　政龍,里長,男,無,(612)嘉義縣太保市安仁里5鄰頂港子墘10-1號,05-3620574,,國中畢業,"安東國小家長委員會、常務委員。 
祥和國小家長會顧問 
東石高中家長會委員 
太保市農會第13、14、15、16屆會員代表 
太保市安仁里第19、20屆里長",16,,https://taibao.cyhg.gov.tw/Default.aspx
107年度村里長選舉,嘉義縣,朴子市,安福里,林　岳平,里長,男,,(613)嘉義縣朴子市安福里四維路一段551號,05-3661689,,學歷欄可按Alt+Enter,簡歷欄可按Alt+Ente,25,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,平和里,蘇　黃寳玉,里長,女,,(613)嘉義縣朴子市平和里四維路一段551號,05-3796876,,,,21,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,內厝里,彭　永達,里長,男,,(613)嘉義縣朴子市內厝里四維路一段551號,05-3660618,,,,14,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,開元里,林　耀堂,里長,男,,(613)嘉義縣朴子市開元里四維路一段551號,,,,,10,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,順天里,吳　博鈺,里長,男,,(613)嘉義縣朴子市順天里四維路一段551號,05-3793803,,,,20,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,中正里,蘇　俊偉,里長,男,,(613)嘉義縣朴子市中正里四維路一段551號,05-3707168,,,,22,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,博厚里,康　國榮,里長,男,,(613)嘉義縣朴子市博厚里四維路一段551號,,,,,18,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,文化里,楊　石旭,里長,男,,(613)嘉義縣朴子市文化里四維路一段551號,05-3706666,,,,25,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,永和里,李　志偉,里長,男,,(613)嘉義縣朴子市永和里四維路一段551號,05-3708551,,,,20,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,竹圍里,姜　俊豪,里長,男,,(613)嘉義縣朴子市竹圍里四維路一段551號,,,,,26,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,新寮里,陳　貞潔,里長,女,,(613)嘉義縣朴子市新寮里新寮里3鄰36號,05-3794515,,,,6,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,双溪里,黃　振卿,里長,男,,(613)嘉義縣朴子市双溪里雙溪里4鄰40-2號,05-3709458,,,,10,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,溪口里,侯　金地,里長,男,,(613)嘉義縣朴子市溪口里雙溪里4鄰40-2號,05-3797437,,,,10,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,德興里,侯　茂昆,里長,男,,(613)嘉義縣朴子市德興里德興里1鄰3-1號,05-3706984,,,,10,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,仁和里,陳　麗嬌,里長,女,,(613)嘉義縣朴子市仁和里仁和里1鄰12號,05-3795108,,,,6,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,大鄉里,涂　國和,里長,男,,(613)嘉義縣朴子市大鄉里大鄉里3鄰179-3號,05-3702427,,,,28,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,大葛里,涂　鋒良,里長,男,中國國民黨,(613)嘉義縣朴子市大葛里大葛里16鄰50號之3,05-3793296,,,,27,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,佳禾里,何　玉合,里長,男,,(613)嘉義縣朴子市佳禾里佳禾里6鄰28-1號,05-3794229,,,,9,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,竹村里,郭　名和,里長,男,,(613)嘉義縣朴子市竹村里竹村里1鄰7-8號,05-3693393,,,,13,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,崁前里,陳　坤山,里長,男,,(613)嘉義縣朴子市崁前里崁前里10鄰24號,,,,,12,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,順安里,涂　添煌,里長,男,,(613)嘉義縣朴子市順安里順安里1鄰1-1號,05-3692072,,,,5,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,崁後里,葉　金明,里長,男,,(613)嘉義縣朴子市崁後里崁後里5鄰37-9附1號,05-3691121,,,,12,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,德家里,黃　玉寬,里長,男,,(613)嘉義縣朴子市德家里德家里5鄰43-3號,05-3692152,,,,10,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,新庄里,王　春風,里長,男,,(613)嘉義縣朴子市新庄里新庄里1鄰12-1號,05-3692339,,,,7,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,梅華里,黃　勝義,里長,男,,(613)嘉義縣朴子市梅華里梅華里2鄰3號之20,05-3691866,,,,20,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,松華里,吳　宗憲,里長,男,,(613)嘉義縣朴子市松華里松華里20鄰341-2號,05-3695087,,,,21,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,朴子市,南竹里,陳　崑備,里長,男,,(613)嘉義縣朴子市南竹里南竹里3鄰29-1號,05-3694037,,,,7,,https://puzih.cyhg.gov.tw/home.aspx
107年度村里長選舉,嘉義縣,布袋鎮,岱江里,蔡　忠峰,里長,男,,(625)嘉義縣布袋鎮岱江里環河街1號,05-3475835,,高中職,,0,,
107年度村里長選舉,嘉義縣,布袋鎮,九龍里,蔡　洋三,里長,男,,(625)嘉義縣布袋鎮九龍里環河街1號,05-3475835,,高中職以下,,0,,
107年度村里長選舉,嘉義縣,布袋鎮,岑海里,翁　億頴,里長,男,,(625)嘉義縣布袋鎮岑海里環河街1號,05-3475835,,高中職以下,,0,,
107年度村里長選舉,嘉義縣,布袋鎮,興中里,蕭　維漢,里長,男,,(625)嘉義縣布袋鎮興中里自由路6號,05-3472771,,高中職,,0,,
