
選舉年,市縣別,鄉鎮市,村里別,姓      名,職稱,性別,黨籍,村里辦公處(服務處)地址,辦公電話,電子信箱,學    歷,簡     歷,所轄鄰數,布落格,連結網頁
107年度村里長選舉,臺南市,新營區,忠政里,程　崑藤,里長,男,中國國民黨,(730)臺南市新營區忠政里中正路35巷32號,06-6337601,無,陸軍官校專科班畢業,"市議員蔡育輝辦公室主任 
臺南市犯罪被害人權服務協會總幹事 
臺南市後備指揮部副指揮官",27,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,民權里,王　獻德,里長,男,無,(730)臺南市新營區民權里仁愛街22號,06-6328873,無,國立空中大學：社會科學系畢業。,"新營市公所：民政課里幹事。 
新營市公所：社會課課員。 
新營市清潔隊分隊長。",17,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,三仙里,范　二任,里長,男,無,(730)臺南市新營區三仙里育德一街42-1號,06-6560355,無,育德工商,"新營區義消顧問 
臺南直轄市肉類商業同業公會第25、26屆理事長 
新營區第一市場自治會會長",18,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,大宏里,蔡　崇名,里長,男,中國國民黨,(730)臺南市新營區大宏里民族路21-61號,06-6358113,無,環球科技大學中小企業研究所管理學碩士,"新營區里長聯誼會會長 
臺南市里長事務促進協會理事長 
臺南直轄市商業總會理事長 
大臺南生命協會理事長 
新營國際商會第15屆理事長",20,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,王公里,顏　國富,里長,男,無,(730)臺南市新營區王公里民族路82號,06-6377726,,世新三專畢業,新營市公所里幹事、鹽水區公所里幹事,23,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,中營里,蔡　牧謙,里長,男,無,(730)臺南市新營區中營里東山三路121號,06-6332699,無,專科學校畢業程度自學進修學力鑑定考試及格,臺南市新營區中營里里長、新營區中營社區發展協會理事長、中華民國太極拳總會國際教練、A級教練、A級裁判、新營社區大學講師,7,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,土庫里,林　旭清,里長,男,無,(730)臺南市新營區土庫里土庫63之1號,06-6362540,無,興國高級中學附設高級進修補習學校畢業。,土庫里里長，土庫國小家長會長，新營區農會理、監事。特優里長，村、里綠美化優等里長獎，土庫社區發展協會理事長，土安宮、復興宮委員。,10,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,南興里,林　玫伶,里長,女,無,(730)臺南市新營區南興里和平路102巷23號,06-6320258,,初中畢業,無,18,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,興業里,蔡　利發,里長,男,無,(730)臺南市新營區興業里中興路13巷28號,06-6326493,無,省立白河商工,"現任：臺南市新營區興業里里長 
現任：興業社區發展協會理事長 
經歷：政治作戰學校（專修班）",16,,http://web.tainan.gov.tw/xinying/
107年度村里長選舉,臺南市,新營區,民生里,陳　慶祥,里長,男,無,(730)臺南市新營區民生里三興街9之1號,06-6326771,無,興國中學,"1.大臺南市總工會代表 
2.大臺南市銀樓職業工會理事 
3.新營分局中山派出所義警顧問 
4.新營分局後鎮派出所義警顧問 
5.新營區民生社區發展協會常務監事",22,,http://web.tainan.gov.tw/xinying/
