
選舉年,市縣別,鄉鎮市,村里別,姓      名,職稱,性別,黨籍,村里辦公處(服務處)地址,辦公電話,電子信箱,學    歷,簡     歷,所轄鄰數,布落格,連結網頁
107年度村里長選舉,臺東縣,臺東市,富岡里,曾　阿粉,里長,女,中國國民黨,(950)臺東縣臺東市富岡里富岡街５４號,089-322098,,高中職以下,"一、富岡國小家長會長 
二、益祥企業社負責人 
三、季紅海產店負責人 
四、第八河川局第五分隊長 
五、富岡里16、17、18、19、20屆全職里長 
六、社區理事。",25,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,富豐里,莊　慶龍,里長,男,,(950)臺東縣臺東市富豐里吉林路１段２４９巷３號,089-322098,,高中職,"臺東地區農會理事二屆 
臺東縣農會理事二屆 
現任臺東縣農會理事",16,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,岩灣里,易　桂美,里長,女,中國國民黨,(950)臺東縣臺東市岩灣里岩灣路５０巷４７３號,089-322098,,高中職,"一、保姆 
二、第二十屆臺東市岩灣里長",19,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,南王里,鄭　總明,里長,男,中國國民黨,(950)臺東縣臺東市南王里更生北路５７６巷３９號,089-322098,,高中職以下,"一、臺東縣消防局義消大隊總幹事 
二、南王義消分隊分隊長 
三、南王里互助㈳副理事長 
四、現任南王義消顧問團團長 
五、現任臺東地區農會代表",20,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,卑南里,陳　志雄,里長,男,,(950)臺東縣臺東市卑南里更生北路１３２巷２５號,089-322098,,高中職,"卑南里里長 
南清宮副主任委員",29,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,南榮里,鍾　秀蜜,里長,女,中國國民黨,(950)臺東縣臺東市南榮里志航路１段１７２號,089-322098,,專科,"一、第17、18、19、20屆南榮里里長 
二、臺灣鐵路局第四警務段臺東婦女志工小隊長 
三、臺東南榮社區發展協會志工",30,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,新生里,陳　嵩志,里長,男,,(950)臺東縣臺東市新生里傳廣路３４４號,089-322098,,高中職以下,"長文西藥房負責人 
馬蘭福應祠委員 
新生社區發展協會理事長 
新生里第17、18、19屆里長 
廣告公會監事 
西藥公會理事",40,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,民生里,顏　子馮,里長,男,民主進步黨,(950)臺東縣臺東市民生里杭州街１４４號,089-322098,,大學,"環藝科技有限公司電腦工程師 
和穗實業有限公司網路工程師TT-Free 
立法委員Facebook粉絲頁顧問民進黨 
立法委員黨內初選助理國民黨",32,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,寶桑里,潘　調志,里長,男,中國國民黨,(950)臺東縣臺東市寶桑里博愛路３８號,089-322098,,專科,"臺東縣警察局小隊長、分隊長、所長 
臺東市第20屆寶桑里里長",11,,http://www.taitungcity.gov.tw
107年度村里長選舉,臺東縣,臺東市,馬蘭里,林　善群,里長,男,,(950)臺東縣臺東市馬蘭里新社三街５５號,089-322098,,大學,"一公東高工代理校長、主任、教師 
二現任第20屆馬蘭里里長 
三現任馬蘭社區發展協會理事 
四現任臺東縣老人會理事",34,,http://www.taitungcity.gov.tw
